title,author,google_id,recommender,recommender_count,category,publication_date,pages
Animal Farm,George Orwell,VYWuCbFM4IMC,Daniel Pink|Jordan Peterson|Vlad Tenev|Whitney Cummings,4,Fiction,2013,110
Anna Karenina,Leo Tolstoy,1DooDwAAQBAJ,Chelsea Handler|Jordan Peterson|Laura R Walker|Oprah Winfrey,4,Fiction,2016,896
Annals of the Former World,John McPhee,GS81F0RNxesC,Daniel Pink,1,Science,2000,448
Anne Frank,Anne Frank,RPQtDwAAQBAJ,Alice Little,1,Biography & Autobiography,2017,816
Annie John,Jamaica Kincaid,-PHl-Y868BAC,Emma Watson,1,Fiction,1997,148
Answer to Job,Carl Jung,sbAOAAAAQAAJ,Jordan Peterson,1,Bible,1984,194
Anthem,Ayn Rand,lz2QMQ_kbVEC,Ev Williams,1,Fiction,2008,108
Anthropic Bias,Nick Bostrom,PUtUAQAAQBAJ,Patrick Collison,1,Philosophy,2013,240
Antifragile,Nassim Nicholas Taleb,QGaMDQAAQBAJ,Ev Williams|James Altucher|Matt Mullenweg|Naval Ravikant|Vlad Tenev,5,Business & Economics,2014,519
Archer's Goon,Diana Wynne Jones,WlGzBgAAQBAJ,Neil Gaiman,1,Juvenile Fiction,2015,320
Architects of the Web,Robert H. Reid,mhKNPwAACAAJ,Keith Rabois,1,Business & Economics,1999,416
Army of None,Paul Scharre,CYV1twEACAAJ,Bill Gates,1,Computers,2019,448
Art in the Blood,Bonnie MacBird,yOxeBwAAQBAJ,Alan Kay,1,Fiction,2015,336
Artemis,Andy Weir,qqg_DwAAQBAJ,Max Levchin,1,Fiction,2017,305
Arthur Ashe,Raymond Arsenault,ZLSkDwAAQBAJ,Barack Obama,1,Biography & Autobiography,2019,784
As A Man Thinketh,James Allen,GQwgAgAAQBAJ,Shay Carl|Tony Robbins,2,Religion,2013,60
As I Lay Dying,William Faulkner,4sALAQAAMAAJ,Oprah Winfrey,1,Fiction,1990,561
Asimov's New Guide to Science,Isaac Asimov,9d8eGgAACAAJ,Patrick Collison,1,Science,1993,880
Ask the Dust,John Fante,HqE5Yb6MKKUC,Neil Strauss,1,"Authors, American",2002,198
Aspects of Quantum Field Theory in Curved Spacetime,Stephen A. Fulling,Zo5_3cmtFEUC,Eric Weinstein,1,Mathematics,1989,315
Astrophysics for People in a Hurry,Neil deGrasse Tyson,hx5DDQAAQBAJ,Vinod Khosla,1,Science,2017,144
Asymmetry,Lisa Halliday,PNFFDwAAQBAJ,Barack Obama,1,Fiction,2018,275
At Home,Bill Bryson,dXbkCwAAQBAJ,Mike Rowe,1,Households,2016,704
At Home in the Universe,Stuart Kauffman,AQFpAgAAQBAJ,Naval Ravikant,1,Science,1996,336
At Play in the Fields of the Lord,Peter Matthiessen,ZpfKJqF7CDsC,Sebastian Junger,1,Fiction,2012,384
At the Drive-In Volcano,Aimee Nezhukumatathil,fN5lAAAAMAAJ,Rolf Potts,1,Poetry,2007,85
Atlas Shrugged,Ayn Rand,0gLzGn-LYAQC,Amelia Boone|Bob Metcalfe|Brian Armstrong|Bryan Callen|Elon Musk|Ev Williams|Gabby Reece|Joe De Sena|Peter Diamandis|Peter Thiel|Steve Jobs|Travis Kalanick,12,Fiction,2005,1168
Atomic Habits,James Clear,XfFvDwAAQBAJ,Vinod Khosla,1,Business & Economics,2018,306
Atrocities,Matthew White,0-fQHlaIpR4C,Steven Pinker,1,History,2011,669
Au Contraire!,Gilles Asselin,xO0wI3h5i_sC,Derek Sivers,1,Travel,2010,308
Auberge Of The Flowering Hearth,Roy Andries De Groot,UTtBHAAACAAJ,Samin Nosrat,1,Cooking,1996,464
Autobiographies,Charles Darwin,vuRnoNE5A74C,Paul Graham,1,Biography & Autobiography,2002,97
Autobiography of a Spiritually Incorrect Mystic,Osho,5cZU914avxsC,Naval Ravikant,1,Biography & Autobiography,2001,336
Autobiography of a Yogi,Paramahansa Yogananda,Wymi_jlaFI4C,Dan Engle|Marc Benioff|Richa Chadha|Steve Jobs|Travis Brewer,5,Biography & Autobiography,2009,480
Average Is Over,Tyler Cowen,CLDgDxHNu1oC,Ryan Holiday,1,Business & Economics,2013,304
Awake in the Wild,Mark Coleman,AYHodn7hBYQC,Chip Conley,1,Religion,2010,264
Awaken the Giant Within,Tony Robbins,iPpyLpX0Y1sC,Brian Koppelman|Derek Sivers,2,Self-Help,2012,544
Awakening Joy,James Baraz,eZ_zAgAAQBAJ,Bill Gates,1,Self-Help,2012,336
Awakening Spirits,Tom Brown Jr.,Kvj3AAAAIAAJ,Aubrey Marcus,1,Nature,1994,224
Awakenings,Oliver Sacks,5r1aAAAAYAAJ,Jordan Peterson,1,Medical,1973,339
Awareness,Anthony De Mello,-Xw6jFD0eocC,Naval Ravikant|Peter Mallouk|Tim Ferriss,3,Religion,1992,184
B,Sarah Kay,YPsQBwAAQBAJ,Seth Godin,1,Poetry,2015,48
Babel-17 / Empire Star,Samuel R. Delany,bpVaAAAAMAAJ,Tim O’Reilly,1,Fiction,1969,311
Back Roads,Tawni O'Dell,2lBf7Ap5y_cC,Oprah Winfrey,1,Fiction,2001,405
Backwards Days,Stuart Dischell,cVTHbjUg-HwC,Rolf Potts,1,Poetry,2007,63
Bad Blood,John Carreyrou,nHSPDwAAQBAJ,Bill Gates,1,Social Science,2019,352
Bad Luck and Trouble,Lee Child,ifVuDwAAQBAJ,Malcolm Gladwell,1,Ex-police officers,2018,400
Bad Science,Ben Goldacre,2mXeGqCUlEkC,Bryan Callen|Charles Poliquin|Tim Ferriss,3,"Errors, Scientific",2011,304
Ball Four,Jim Bouton,3cgcAQAAIAAJ,Ben Shapiro,1,Sports & Recreation,1990,504
Ballet Shoes,Noel Streatfeild,zoJLDwAAQBAJ,J.K. Rowling,1,Juvenile Fiction,2018,304
Barbarian Days,William Finnegan,GVgBDAAAQBAJ,Paul Graham,1,Biography & Autobiography,2016,464
Barrel Fever,David Sedaris,CiXMuB3k7nQC,Chelsea Handler,1,Fiction,2010,256
Basic Algebra I,Nathan Jacobson,JHFpv0tKiBAC,Eric Weinstein,1,Mathematics,2012,528
Basic Economics,Thomas Sowell,6pNVStJrYFYC,Ben Shapiro,1,,2011,524
Bass Culture,Lloyd Bradley,mQSCmWUfxsgC,Daniel Ek,1,Music,2001,608
